task,component,pb_effect,pb_ci_low,pb_ci_high,pb_padj,loo_effect,spearman_r,spearman_p
gsm8k,system_role,0.0125,-0.0159,0.0409,0.2238,0.0050,0.2125,0.6860
gsm8k,persona,-0.0100,-0.0348,0.0148,0.3161,0.0100,0.2125,0.6860
gsm8k,few_shot,0.0200,-0.0115,0.0515,0.0784,0.0100,0.2125,0.6860
gsm8k,cot_trigger,-0.0200,-0.0356,-0.0044,0.0767,0.0100,0.2125,0.6860
gsm8k,output_format,0.0250,-0.0062,0.0562,0.0970,0.0250,0.2125,0.6860
gsm8k,constraints,-0.0175,-0.0438,0.0088,0.6035,0.0150,0.2125,0.6860
bbh_date,system_role,0.0237,-0.0047,0.0522,0.0459,0.0200,0.4058,0.4247
bbh_date,persona,-0.0737,-0.0985,-0.0490,0.0097,-0.0200,0.4058,0.4247
bbh_date,few_shot,0.0287,-0.0028,0.0603,0.0966,0.0550,0.4058,0.4247
bbh_date,cot_trigger,-0.0137,-0.0294,0.0019,0.6613,0.0100,0.4058,0.4247
bbh_date,output_format,0.0537,0.0226,0.0849,0.0089,0.0000,0.4058,0.4247
bbh_date,constraints,-0.0037,-0.0301,0.0226,0.4339,0.0100,0.4058,0.4247
mmlu_pro,system_role,0.0275,-0.0009,0.0559,0.0491,-0.0100,0.5218,0.2883
mmlu_pro,persona,-0.1275,-0.1523,-0.1027,0.0176,-0.0600,0.5218,0.2883
mmlu_pro,few_shot,0.0400,0.0085,0.0715,0.0200,0.0600,0.5218,0.2883
mmlu_pro,cot_trigger,-0.0125,-0.0281,0.0031,0.2465,0.0400,0.5218,0.2883
mmlu_pro,output_format,0.0700,0.0388,0.1012,0.0128,0.0200,0.5218,0.2883
mmlu_pro,constraints,0.0250,-0.0013,0.0513,0.0708,-0.0100,0.5218,0.2883
