task,component,GPT-4o-mini_pb_effect,GPT-4o-mini_loo_effect,GPT-4o_pb_effect,GPT-4o_loo_effect,Claude Haiku 4.5_pb_effect,Claude Haiku 4.5_loo_effect,DeepSeek V4 Pro_pb_effect,DeepSeek V4 Pro_loo_effect,Gemma 4 31B_pb_effect,Gemma 4 31B_loo_effect
gsm8k,system_role,0.0187,-0.0150,0.0012,0.0150,0.0125,0.0050,0.0088,0.0050,0.0050,0.0050
gsm8k,persona,-0.0312,-0.0050,-0.0063,0.0050,-0.0100,0.0100,-0.0088,0.0100,-0.0025,0.0100
gsm8k,few_shot,0.0288,-0.0250,-0.0013,0.0050,0.0200,0.0100,0.0237,0.0150,0.0250,0.0250
gsm8k,cot_trigger,-0.0137,0.0000,0.0038,0.0000,-0.0200,0.0100,-0.0162,0.0200,-0.0150,0.0200
gsm8k,output_format,0.0463,0.0150,0.0088,0.0100,0.0250,0.0250,0.0263,0.0300,0.0275,0.0350
gsm8k,constraints,-0.0438,-0.0150,0.0013,0.0000,-0.0175,0.0150,-0.0213,0.0100,-0.0200,0.0150
bbh_date,system_role,0.0975,0.0050,0.0100,0.0450,0.0237,0.0200,0.0275,0.0150,0.0325,0.0150
bbh_date,persona,-0.0925,-0.0050,-0.0200,-0.0200,-0.0737,-0.0200,-0.0600,-0.0150,-0.0650,-0.0100
bbh_date,few_shot,0.1550,0.0500,0.0325,0.0350,0.0287,0.0550,0.0425,0.0550,0.0450,0.0550
bbh_date,cot_trigger,-0.0700,0.0150,0.0000,0.0000,-0.0137,0.0100,-0.0175,0.0250,-0.0125,0.0250
bbh_date,output_format,0.0925,0.0200,0.0025,0.0350,0.0537,0.0000,0.0550,0.0100,0.0575,0.0100
bbh_date,constraints,-0.0825,-0.0200,0.0125,0.0800,-0.0037,0.0100,-0.0125,0.0150,-0.0100,0.0150
mmlu_pro,system_role,0.0075,0.0200,0.0112,-0.0200,0.0275,-0.0100,0.0375,-0.0050,0.0338,-0.0050
mmlu_pro,persona,-0.0750,0.0000,-0.0938,-0.0750,-0.1275,-0.0600,-0.1025,-0.0500,-0.0963,-0.0500
mmlu_pro,few_shot,0.0325,0.0700,0.0112,-0.0400,0.0400,0.0600,0.0375,0.0600,0.0363,0.0550
mmlu_pro,cot_trigger,0.0100,0.0100,-0.0438,-0.0450,-0.0125,0.0400,-0.0100,0.0300,-0.0013,0.0300
mmlu_pro,output_format,0.0775,0.0750,0.0463,0.0450,0.0700,0.0200,0.0700,0.0150,0.0612,0.0150
mmlu_pro,constraints,0.0400,0.0350,0.0363,0.0050,0.0250,-0.0100,0.0150,-0.0100,0.0162,-0.0100
