task,component,pb_effect,pb_ci_low,pb_ci_high,pb_padj,loo_effect,spearman_r,spearman_p
gsm8k,system_role,0.0088,-0.0197,0.0372,0.5388,0.0050,0.3769,0.4615
gsm8k,persona,-0.0088,-0.0335,0.0160,0.5207,0.0100,0.3769,0.4615
gsm8k,few_shot,0.0237,-0.0078,0.0553,0.0914,0.0150,0.3769,0.4615
gsm8k,cot_trigger,-0.0162,-0.0319,-0.0006,0.4246,0.0200,0.3769,0.4615
gsm8k,output_format,0.0263,-0.0049,0.0574,0.0772,0.0300,0.3769,0.4615
gsm8k,constraints,-0.0213,-0.0476,0.0051,0.0575,0.0100,0.3769,0.4615
bbh_date,system_role,0.0275,-0.0009,0.0559,0.0801,0.0150,0.2319,0.6584
bbh_date,persona,-0.0600,-0.0848,-0.0352,0.0101,-0.0150,0.2319,0.6584
bbh_date,few_shot,0.0425,0.0110,0.0740,0.0037,0.0550,0.2319,0.6584
bbh_date,cot_trigger,-0.0175,-0.0331,-0.0019,0.7591,0.0250,0.2319,0.6584
bbh_date,output_format,0.0550,0.0238,0.0862,0.0022,0.0100,0.2319,0.6584
bbh_date,constraints,-0.0125,-0.0388,0.0138,0.7235,0.0150,0.2319,0.6584
mmlu_pro,system_role,0.0375,0.0091,0.0659,0.0297,-0.0050,0.3714,0.4685
mmlu_pro,persona,-0.1025,-0.1273,-0.0777,0.0164,-0.0500,0.3714,0.4685
mmlu_pro,few_shot,0.0375,0.0060,0.0690,0.0637,0.0600,0.3714,0.4685
mmlu_pro,cot_trigger,-0.0100,-0.0256,0.0056,0.4181,0.0300,0.3714,0.4685
mmlu_pro,output_format,0.0700,0.0388,0.1012,0.0082,0.0150,0.3714,0.4685
mmlu_pro,constraints,0.0150,-0.0113,0.0413,0.6594,-0.0100,0.3714,0.4685
