task,component,pb_effect,pb_ci_low,pb_ci_high,pb_padj,loo_effect,spearman_r,spearman_p
gsm8k,system_role,0.0012,0.0010,0.0013,0.3000,0.0150,-0.0896,0.8660
gsm8k,persona,-0.0063,-0.0065,-0.0061,0.3000,0.0050,-0.0896,0.8660
gsm8k,few_shot,-0.0013,-0.0017,-0.0012,0.3000,0.0050,-0.0896,0.8660
gsm8k,cot_trigger,0.0038,0.0034,0.0040,0.3000,0.0000,-0.0896,0.8660
gsm8k,output_format,0.0088,0.0085,0.0088,0.3000,0.0100,-0.0896,0.8660
gsm8k,constraints,0.0013,0.0011,0.0016,0.8920,0.0000,-0.0896,0.8660
bbh_date,system_role,0.0100,0.0096,0.0104,0.0180,0.0450,0.2609,0.6175
bbh_date,persona,-0.0200,-0.0204,-0.0195,0.0180,-0.0200,0.2609,0.6175
bbh_date,few_shot,0.0325,0.0319,0.0328,0.0180,0.0350,0.2609,0.6175
bbh_date,cot_trigger,0.0000,-0.0006,0.0001,0.3160,0.0000,0.2609,0.6175
bbh_date,output_format,0.0025,0.0023,0.0029,0.3160,0.0350,0.2609,0.6175
bbh_date,constraints,0.0125,0.0122,0.0129,0.3160,0.0800,0.2609,0.6175
mmlu_pro,system_role,0.0112,0.0110,0.0120,0.0000,-0.0200,0.7537,0.0835
mmlu_pro,persona,-0.0938,-0.0948,-0.0933,0.0000,-0.0750,0.7537,0.0835
mmlu_pro,few_shot,0.0112,0.0106,0.0117,0.0000,-0.0400,0.7537,0.0835
mmlu_pro,cot_trigger,-0.0438,-0.0444,-0.0431,0.0000,-0.0450,0.7537,0.0835
mmlu_pro,output_format,0.0463,0.0456,0.0466,0.0000,0.0450,0.7537,0.0835
mmlu_pro,constraints,0.0363,0.0358,0.0371,0.0315,0.0050,0.7537,0.0835
